This is a great example of Kohonen's Self-organizing Maps  and the use of the U-Matrix. The authors were very thorough in explaining how it can be used.	Appendix. Technical demonstration of the SOMprocedure	doi:10.1016/j.ejor.2006.06.006
Data Structure	The SOM consisted of 360 neurons on a 24by  15  map  grid,  with  hexagonal  lattice  andGaussian neighborhood  function.	doi:10.1016/j.ejor.2006.06.006
This is the novel innovation approach to network analysis that I will be discussing in my article review presentation
	(Kohonen’s Self-Organizing Maps	doi:10.1016/j.ejor.2006.06.006
I really like this concept and application of SNA with integration of critical discourse analysis (CDA), which is a course I am taking in the fall!! In another class, we read about critical quantitative approach, and I now think what makes it truly critical might be the integration of a mixed method approach, where something like ethnographic case studies or in this case discourse analysis is used in combination with SNA/statistical analyses to give it more robust findings.	Ryu, S., & Lombardi, D. (2015). Coding Classroom Interactions for Collective and Individual Engagement. Educational Psychologist, 50(1), 70–83. http://doi.org/10.1080/00461520.2014.1001891 (Note: An attempt to combine SNA with critical discourse analysis.)	Social Network Analysis in Education
These are important questions that need answered to truly understand complex social interactions.	 address the questions in the previous paragraph	An Introduction to Statistical Inference With Network Data - SAGE Research Methods
I am familiar with SPSS, but I had not considered using it for my final project until now. I am a little confused about how I would have to code the data (adjacency matrix) so that it works well in SPSS, but I think I'm going to try it just to see if I can get the same results that I obtain from using R.	analyses using these ego-level measures can be done using statistical packages like SPSS	Looking Back, Looking Ahead - SAGE Research Methods
I am interested in learning more about the NetDraw software in UCINET. While I like statistics, nothing really says SNA like having clear visuals that display network ties	UCINET is NetDraw, a visualization tool that has advanced graphic properties.	Looking Back, Looking Ahead - SAGE Research Methods
I need to more practice with creating cleaner graphs that show my network. So far, I've been sticking with the orange and blue colors but I plan to get a little more creative for the final project	visualizing your network in the form of a graph provides some hints as to whether your motivating research questions or hypotheses are worth pursuing or in need of revision.Figure	Looking Back, Looking Ahead - SAGE Research Methods
My project deviated from the author's process because I actually obtained the dataset before identifying research questions. I am using a public dataset so I had to develop me project around what I had available	Now that your network's boundary has been specified, you are ready to collect your data.	Looking Back, Looking Ahead - SAGE Research Methods
Throughout the semester, I have struggled with turning my research topic into a researchable question. I think I've come up with some decent questions, but I'm constantly rewording them.	 First, start with an initial topic of interest and then turn this topic into a question. 	Looking Back, Looking Ahead - SAGE Research Methods
Due to classroom size, I am very limited here with what I could use for complete networks and I'm concerned with the small sample size that the combined quantitative analysis will not show statistical significance
	Where do [Page 270]you set the limits when collecting complete network data when, in theory, there are no limits (Barnes, 1979; Knoke & Yang, 2008)? 	Looking Back, Looking Ahead - SAGE Research Methods
I have to develop this more in my project and see how other variables are affecting my network and the results.  	y another set of variables	Looking Back, Looking Ahead - SAGE Research Methods
The more amount of data that I add in for quantitative analysis has made the interpretation more difficult

	While on the one hand, this seems straightforward, on the other hand, such a study can lead to a dizzying amount of complexity.	Looking Back, Looking Ahead - SAGE Research Methods
This paradigm shift may be supported by a similar shift from individualized learning theories to socio-cultural theorning theories too.	methodological transactionalism	Looking Back, Looking Ahead - SAGE Research Methods
I have a lot of node attribue data that is binary (workday track), but I also have a lot of atttribute data that I force to be binary. I think it works, and I have reasons for each fit, but ultimately it simply eases the analysis.	binary	Looking Back, Looking Ahead - SAGE Research Methods
To what degree can this be an iterative process? After I saw the network data that I collected, I became interested in interviewing a particular subset of students. Though I may have been able to predict the intrigue that the friendship network created, I didn't. Only after seeing the data, did I develop more finely tuned problems to study.	you will determine whom you plan to study	Looking Back, Looking Ahead - SAGE Research Methods
To what degree may questions develop after data has been collected? Depending on the type of data collected, these new quesitons may already have relevant data to support conclusions.	Research questions or hypotheses flow directly from your preferred theoretical framework—assuming, of course, you are operating in a deductive manner	Looking Back, Looking Ahead - SAGE Research Methods
A question I have had for awhile relates to the timeframe for developing a theoretical framework, and how to present that experience in a manuscript. It seems to be a good idea to understand a theoretical framework well after consulting the literature before collecting data. Often enough, I suppose data will not match the theoretical framework, which may force an adjustment of somesort. How do you present this in a manuscript? This experience may lead to the richest conclusions, but I could see authors writing to different audiences and varying their emphasis on the theoretical shift.	it is critical that you immerse yourself in the relevant literature that has developed and tested various components related to these and other network-based theories.	Looking Back, Looking Ahead - SAGE Research Methods
Consult literature that is not solely focused on education. That'll be important for me to always remember.	Table 12.1	Looking Back, Looking Ahead - SAGE Research Methods
Sounds interesting! I'd be curious to learn more about this.	social capital	Looking Back, Looking Ahead - SAGE Research Methods
I need to look more into how to address the absence of certain data points. If I recall correctly, 133 of 144 students in the 9th grade at my school participated. Reasons for absences vary, and I need to look into what to do about the missing nodes. Any suggestions?	patterns of missingness	Looking Back, Looking Ahead - SAGE Research Methods
This sounds powerful, I will rethink my choice, before make a decision I may need to get to know more about UCINET and NetMiner, make a comparison.	it also supports a larger number of statistical procedures	Looking Back, Looking Ahead - SAGE Research Methods
I may prefer to try this package later since my two friends used this software for years, I think I could get more help when I am stuck. 	UCINET	Looking Back, Looking Ahead - SAGE Research Methods
a huge limitation to the application of SNA in general, in my opinion. while it's fascinating to look at particular networks and see some other structures in some of the studies i was reading to better understand my own issues, the findings weren't something i would be comfortable applying to my situation. people are so unique and add a social network of other individuals on top of that, plus environment, plus any number of other factors and it feels very limiting.	whether even inferential results are generalizable to other populations	Looking Back, Looking Ahead - SAGE Research Methods
can confirm. was in high school once. 	as peers both seek out other “deviants” as well as influence each other's behavior	Looking Back, Looking Ahead - SAGE Research Methods
yeah, this wasn't so useful for an interconnected network of over 400 individuals.....	isn't too large and dense	Looking Back, Looking Ahead - SAGE Research Methods
This is related to my project, exploring how the structural and positions of coauthor-ship network affect scholars' academic performance. 	 the key in this process is to think about how a network variable (either relational or structural, Chapter 3), relates to, affects, or is affected by another set of variables.	Looking Back, Looking Ahead - SAGE Research Methods
Since no one had "done" what I was looking to do I also found it helpful to look for studies that had the same general goal as mine. Even if we were talking about departments in a huge corporation or different professional development groups and how they shared knowledge it was pretty easy to find things in common with my own information.	You will be somewhat surprised how expanding your search in these ways will yield a bigger, better, and deeper pool of literature that can be used to inform your research questions and design	Looking Back, Looking Ahead - SAGE Research Methods
This list of words as an image and not words is making the accessibility part of my brain twitch. I'm sure this is just a formatting thing that the automated system that makes this available online did but... what about the screen readers?!	Nine-Step Process for Conducting a Social Network Analysis. Adapted from Prell (2012)	Looking Back, Looking Ahead - SAGE Research Methods
This is a useful way to think about questions and especially when designing surveys in terms of desired objectives.	ONA can either be (1) person centric, consisting of a number of questions about each respondent, or (2) question centric to evaluate the relationship for each question	Looking Back, Looking Ahead - SAGE Research Methods
I would be interested in trying this especially because this textbook provides some good step-by-step examples using this package. 	analyses presented throughout this book 	Looking Back, Looking Ahead - SAGE Research Methods
I just like the phrasing here. antecednets and determinants - strong, but true. 	relationships are key antecedents and determinants of individual behaviors and attitudes	Looking Back, Looking Ahead - SAGE Research Methods
yes, but at least they are accounted for in some way. Traditionally, these are either ignored or mentioned as something that will be left out because it is too complex.	reducing to a number—the complexity of interpersonal relations	Looking Back, Looking Ahead - SAGE Research Methods
reciprocal relationships are very interesting and relevant to my research interests.	networks’ influences on students’ achievement, attitudes toward school, and degree attainment	Looking Back, Looking Ahead - SAGE Research Methods
I really like how this chapter is written and how they take us through all the steps. Love the idea that looking at many networks will lead to an "intuitive feel" #snagoals :)	intuitive feel for the network's topography.	Looking Back, Looking Ahead - SAGE Research Methods
I would love to see more of these - in published papers, for example - or just tutorials that take us from raw data to tidy data to analysis/computations in R. 	hypothetical example of a questionnaire	Looking Back, Looking Ahead - SAGE Research Methods
I hope to use survey design as a component of my data collection for a future project.	Likert-type scales	Looking Back, Looking Ahead - SAGE Research Methods
I hope this will play a big role in my future projects	observations, interviews	Looking Back, Looking Ahead - SAGE Research Methods
I feel like I really appreciate how this step is more involved than I originally expected - mostly in terms of needing the data to be tidied up - organized appropriately before computations.	calculate a few of the indices	Looking Back, Looking Ahead - SAGE Research Methods
I like this line of thinking -- how the author suggests that we don't have to feel rigid about the questions - have a little more elbow room in exploring our area of interest while still maintaining focus.	could ask how an adolescent's level of school attachment influences the likelihood of forming friendship ties	Looking Back, Looking Ahead - SAGE Research Methods
I think even with inductive approaches, the theoretical framework lends itself to identifying emerging central themes. Just gives more room to incorporate other frameworks as well...	deductive	Looking Back, Looking Ahead - SAGE Research Methods
So this is a sub theory of network theory that focuses on concepts such as structural holes and brokers?	network exchange theory 	Looking Back, Looking Ahead - SAGE Research Methods
This is certainly applicable to my own study.  My original thought was that my data could be undirected, but I'm now questioning that.  For example, it would be interesting to see if an initial contact between two students was then reciprocated, or if there were other contacts that seemed to follow from the initial. 	If you are observing faculty members in a teachers’ lounge, are you interested in who speaks with whom, or are you also interested in who initiated the conversation? Who initiated the conversation and who responded might be more interesting than just recording the pairs of teachers who engaged in conversations.	Looking Back, Looking Ahead - SAGE Research Methods
I'm not looking for causality in my study; it's more exploratiional and inductive than that.  I imagine this is driven in part by my personal usage of SNA as a tool within a study, as opposed to being the methodology of a study in and of itself. 	Remler and Van Ryzin (2010) define theory as a logical explanation that proposes a causal process or mechanism that produces an outcome of interest	Looking Back, Looking Ahead - SAGE Research Methods
Actually, I started this project with less consulting the previous literature. At that time, I much focused on what is collectable data and how to analyze the data. When I articulate another project, I'll more deeply consult the literature 	Of course, this first step will help you refine your ideas before you move forward, but you will also find useful concrete examples of how previous researchers have formulated their research questions, collected data, and analyzed those data.	Looking Back, Looking Ahead - SAGE Research Methods
Unless, of course, no IRB is needed and no one knows they're being studied.  Which holds its own ethical issues, of course.	One potential harm is that it is more likely than not that a participant will know who else is participating in the study	Looking Back, Looking Ahead - SAGE Research Methods
Which I'm already doing on my own through weekly data collection.	 relational measures collected at separate time points)	Looking Back, Looking Ahead - SAGE Research Methods
OK.  So maybe this could be a useful package in the future.  Except my studies will likely just stick to the semester, given I have no way of tracking students beyond that.	RSiena	Looking Back, Looking Ahead - SAGE Research Methods
No kidding!	 It is strongly advised that network data be collected through means such as these because they reduce respondents’ burden and errors in data entry	Looking Back, Looking Ahead - SAGE Research Methods
Another one to keep tabs on.

It occurs to me that I might've been able to use one of these instead of what I did (Google Forms) to create a survey for my students and then could've already had the data ready to export rather than needing to do the entry myself.  Next time...	Organization Network Analysis	Looking Back, Looking Ahead - SAGE Research Methods
Another one to keep in mind for the future.	Network Genie	Looking Back, Looking Ahead - SAGE Research Methods
Wait--does this mean it takes in the data from the surveys which can then be exported into a visualization tool without the researcher needing to import data separately??  That sounds awesome!	These questionnaires can incorporate name generators and interpreters and provide a very helpful framework to configure and perform a survey interview	Looking Back, Looking Ahead - SAGE Research Methods
This one has come up in a few studies I've read as well.  Probably not as useful for my particular research.	E-Net	Looking Back, Looking Ahead - SAGE Research Methods
Sounds like what I would've been using a few years ago.  Maybe not as relevant anymore.	RSiena	Looking Back, Looking Ahead - SAGE Research Methods
Would need to have a firmer grasp on stats to understand which elements are most applicable to me.  p tests might be, but I think I recall from that week they seemed less likely something I'd be interested in, so this program may not be for me.	PNet 	Looking Back, Looking Ahead - SAGE Research Methods
I don't have a large network, but am I working with more complex data.  Not super complex, but I like the idea of the integration it describes.	Foremost among its strengths is that it combines attribute and relational data into one model to perform a context analysis: It integrates data that describe people with data that describe relationships between people into a single analytic model	Looking Back, Looking Ahead - SAGE Research Methods
I haven't seen this one come up as much, but it sounds more powerful than UCINET and still has the phrase "user friendly" in it.  May be a better option to look into.	NetMiner	Looking Back, Looking Ahead - SAGE Research Methods
I like how often the word "easy" is used here. :)  	easily manipulate and transform data	Looking Back, Looking Ahead - SAGE Research Methods
This one comes up a lot in the studies I've read.  I guess I was under the impression it was more basic (like the SNA equivalent of web 1.0) but could be wrong.  	UCINET	Looking Back, Looking Ahead - SAGE Research Methods
I had some difficulty in this area with my students because they're basically meeting minimum requirements for how many reply posts they do.  I could ask questions around degree of my rockstar students or maybe look at repeated ties (suggesting the formation of a relationship of sorts rather than just a "reply to random person").  I need to see how many data shook out to start forming more of those "ah-ha!"s.	(1) ties between actors in complete networks; (2) certain individual attributes predicted from relational data; or (3) relations within and between groups.	Looking Back, Looking Ahead - SAGE Research Methods
Getting better at this in R.  I get the basic functions (more or less).  Moving onto the fancier stuff!  The Michael Marin videos on YouTube were really helpful for solidifying the basics, btw.	 Visualize the Network	Looking Back, Looking Ahead - SAGE Research Methods
Mine ended up looking more like this (but with more vectors).  Much better for R. :)	Data Matrix with Three Vectors	Looking Back, Looking Ahead - SAGE Research Methods
This was NOT a good route for me.  I made the first few Excel sheets as adjacency matrices, and R was not happy.  I will NOT be using this method in the future.	adjacency matrix	Looking Back, Looking Ahead - SAGE Research Methods
It took a long time to get my data all tidy, but now that I know what that looks like, it would be much easier the second time around.	Once your egocentric or complete network data are gathered, they are ready to be organized in a manner that is suitable for analysis	Looking Back, Looking Ahead - SAGE Research Methods
I used something similar to this for coding SP and CP, which was much more meaningful for me than just binary ties.  However, I'm running into issues in graphing these because SP has 3 valued elements to graph.  	Valued data reflect the relative strength, frequency, or duration of a relationship between a pair of actors. Different options for gathering valued network data include the use of Likert-type scales that assess the frequency with which one engages in a behavior with someone else: 1, 2, 3, or 4; 1 = never, 4 = frequently	Looking Back, Looking Ahead - SAGE Research Methods
This was an easy question for me to answer.  Directional all the way.  I'm interested in both directions too, as a student's sense of belonging is potentially affected by both incoming and outgoing posts.	directed or undirected relational data	Looking Back, Looking Ahead - SAGE Research Methods
I collected all the data!  Because I may be using this for multiple studies, I collected everything on a weekly basis (after the close the discussion forum for the week).  It made grading much easier because I was able to code at the same time I was grading, and it helped me give more detailed feedback to my students in the grading.  

More in next section.	With a clear question, you can develop a better image of the type of data you are interested in gathering.	Looking Back, Looking Ahead - SAGE Research Methods
Continuation from previous post...

I can see, however, that I either need to be doing the incredibly tedious thing of coding in one session, double checking coding, and/or having a more detailed rubric to follow. Because what I was applying was not totally clearcut, I can see where I may have (and probably did) code similar things differently when it came to levels of CP and SP. Not ideal, but also helpful for ensuring better consistency in future studies	 validity, reliability, accuracy, and patterns of missingness	Looking Back, Looking Ahead - SAGE Research Methods
I was beginning to think my answers to everything was going to be "Could've done that better...," but this was one area I did pretty well.  It was more of a given, since I was teaching the class.  In future studies, I could look at pairing with another instructor.  That might make my coding of things like CP and SP more objective.  I found myself sometimes downgrading one student whose posts were at a higher CP level because I wasn't used to them doing that level of CP in their work.  I had to go back a few times to compare coding.  Triangulation in the form of another coder would be helpful, but I think objectivity would help too.  It's hard to do study not your own class though, given access issues.	Select a Sample	Looking Back, Looking Ahead - SAGE Research Methods
Which is something Tasha pointed out to me once for my own study.  It was a good point.	 yet this order could easily also be reversed.	Looking Back, Looking Ahead - SAGE Research Methods
As Bodong knows all too well, my issue is in narrowing.  I have way too many research questions currently because I'm trying to work too many elements together.  I could do a better job of isolating elements rather than trying to find some grand way they all fit together.  Just because they're related doesn't mean they belong in the same study.	Research questions or hypotheses flow directly from your preferred theoretical framework—assuming, of course, you are operating in a deductive manner	Looking Back, Looking Ahead - SAGE Research Methods
When I first read this, I thought it was going to be about the 30K level stuff, which I am also still wrestling with a bit--not like stats.  Different sort of brain workout.  	Develop a Theoretical Frame	Looking Back, Looking Ahead - SAGE Research Methods
This one might be particularly useful for my research.  While my study is set up as being causal, it's less causal on the SNA elements themselves.  I would need a more comprehensive understanding of the stats before really delving into more deductive elements.	social influence theory	Looking Back, Looking Ahead - SAGE Research Methods
I had done some review of the lit before taking this course, but I didn't understand SNA well enough to "get" the studies.  Other studies I've pulled have happened after my own research began.  If I were doing this process again, I would do a better job in this first step of reviewing before formulating.  I would also be a little more inclusive--there are not as many studies for SNA and CoI together (so great niche to publish in, but for lit review, I should cast a wider net).	This should happen even before you start formulating your own research questions.	Looking Back, Looking Ahead - SAGE Research Methods
Area for improvement in my project	art III introduced two of these theoretical areas (social capital and diffusion of innovation), but there are many others. These others include network exchange theory (Blau, 1964; Cook, Emerson, Gilmore, & Yamagishi, 1983), which focuses on how a network's structure influences whom in the network emerges as powerful, and social influence theory (e.g., Friedkin, 1998), which considers how actors influence one another's thoughts.	Looking Back, Looking Ahead - SAGE Research Methods
This seems to be blending qual and quant.	the intersection of the social network perspective and its emphasis on the importance of relations and the types of data that have long been preferred by mainstream social science.	Measures for Egocentric Network Analysis - SAGE Research Methods
