text,standardized_text,processed_text
"The WISE simulations allowed the students to conceptualize the abstract idea of invisible particles and see how the effects of these particles could be modeled and observed; the students were encouraged to work collaboratively and to reflect on their learning. These reflections especially allowed Jennifer to observe where the students were missing the big idea or were getting it. I loved how she observed that the kids loved her demos at the start, but it turned out that they learned nothing from them. How many times has that happened in my class and I didn't even know it?",the wise simulations allowed the students to conceptualize the abstract idea of invisible particles and see how the effects of these particles could be modeled and observed  the students were encouraged to work collaboratively and to reflect on their learning. these reflections especially allowed jennifer to observe where the students were missing the big idea or were getting it. i loved how she observed that the kids loved her demos at the start  but it turned out that they learned nothing from them. how many times has that happened in my class and i didn't even know it ,wise simulation allow student conceptualize abstract idea invisible particle see effect particle model observe student encourage work collaboratively reflect learning reflection especially allow jennifer observe student miss big idea get love observe kid love demo start turn learn nothing many time happen class even know 
"The most effective aspects in wise activity were:\r\nCreating a spirit of team by encouraging collaboration with other partners,allowing student to make and test their own predictions,encouraging students to investigate, measure, and think about the possible explanations for the subject they are learning about. All these aspects helped students to be involved in the process of learning not only a receiver but a participant and an initiator.\r\n",the most effective aspects in wise activity were   creating a spirit of team by encouraging collaboration with other partners allowing student to make and test their own predictions encouraging students to investigate  measure  and think about the possible explanations for the subject they are learning about. all these aspects helped students to be involved in the process of learning not only a receiver but a participant and an initiator.  ,effective aspect wise activity create spirit team encourage collaboration partner allow student make test prediction encourage student investigate measure think possible explanation subject learn aspect help student involve process learn receiver participant initiator  
WISE uses predict-observe-explain patterns with prompts to encourage students to generate explanations.,wise uses predict observe explain patterns with prompts to encourage students to generate explanations.,wise use predict observe explain pattern prompt encourage student generate explanation  
It appears that the interactive app allowed them to visualize the science while reflecting on it as they went. Since it's difficult to show molecular activity in real size the WISE app seemed very useful.,it appears that the interactive app allowed them to visualize the science while reflecting on it as they went. since it's difficult to show molecular activity in real size the wise app seemed very useful.,appear interactive app allow visualize science reflect go difficult show molecular activity real size wise app seem useful  
Students can make predictions and test them. They work into small groups.,students can make predictions and test them. they work into small groups.,student make prediction test work small group  
"One aspect of the WISE activity that really helped students was that it breaks down large chunks of information into manageable pieces. This way, students are able to focus on one concept at a time, and are able to digest it well before moving onto another piece. \r\n\r\nAnother aspect, WISE activities are hands-on, supported by available/appropriate materials and technology. They elicit a lot of discussion, generate ideas, accommodate sharing of knowledge, and allow the teacher to catch any misconceptions at the outset. The students remain engaged throughout the period.\r\n\r\nA WISE lesson is web-based, technology-driven, but student- and teacher-friendly. It encourages the students to think, investigate, inquire, predict, test, experiment, assess, comment, collect data, and reflect on their learning. The teacher can easily assess or track student learning and understanding, and he/she is able to stop work to hold spontaneous discussions.\r\n\r\nOne other great aspect, too, is that WISE is flexible and easy to modify. The teacher and the class can tailor their lesson to their needs. \r\n",one aspect of the wise activity that really helped students was that it breaks down large chunks of information into manageable pieces. this way  students are able to focus on one concept at a time  and are able to digest it well before moving onto another piece.     another aspect  wise activities are hands on  supported by available appropriate materials and technology. they elicit a lot of discussion  generate ideas  accommodate sharing of knowledge  and allow the teacher to catch any misconceptions at the outset. the students remain engaged throughout the period.    a wise lesson is web based  technology driven  but student  and teacher friendly. it encourages the students to think  investigate  inquire  predict  test  experiment  assess  comment  collect data  and reflect on their learning. the teacher can easily assess or track student learning and understanding  and he she is able to stop work to hold spontaneous discussions.    one other great aspect  too  is that wise is flexible and easy to modify. the teacher and the class can tailor their lesson to their needs.   ,aspect wise activity really help student break large chunk information manageable piece way student able focus concept time able digest well move piece aspect wise activity hand support available appropriate material technology elicit lot discussion generate idea accommodate sharing knowledge allow teacher catch misconception outset student remain engage period wise lesson web base technology drive student teacher friendly encourage student think investigate inquire predict test experiment assess comment collect data reflect learning teacher easily assess track student learning understanding able stop work hold spontaneous discussion great aspect wise flexible easy modify teacher class tailor lesson need  
"I liked the idea of discovery. So many times, my students simply want to get to the answer",i liked the idea of discovery. so many times  my students simply want to get to the answer,like idea discovery many time student simply want get answer 
The way it was interactive\r\nThe way it was visual\r\nIt offered assessment that does not stress students but it rather seems joyful and gives insight on hard topics and what needs more practise for the teacher,the way it was interactive  the way it was visual  it offered assessment that does not stress students but it rather seems joyful and gives insight on hard topics and what needs more practise for the teacher,way interactive way visual offer assessment stress student rather seem joyful give insight hard topic need practise teacher 
"WISE helps students to visualize and experiment with the physical terms in a way that would be difficult if not possible without technology. In the activity students could compare different scenarios safely while seeing the physical phenomenon animated in a clear way. Sometimes the animation is even better than doing the an experiment in real life, because with animation it is possible to emphasize processes that would be impossible to see with bare eyes. Also, with the ready made platform students were able to advance in their own pace, instead of waiting for the rest of the group.",wise helps students to visualize and experiment with the physical terms in a way that would be difficult if not possible without technology. in the activity students could compare different scenarios safely while seeing the physical phenomenon animated in a clear way. sometimes the animation is even better than doing the an experiment in real life  because with animation it is possible to emphasize processes that would be impossible to see with bare eyes. also  with the ready made platform students were able to advance in their own pace  instead of waiting for the rest of the group.,wise help student visualize experiment physical term way difficult possible technology activity student compare different scenario safely see physical phenomenon animate clear way sometimes animation even good experiment real life animation possible emphasize process impossible see bare eye also ready make platform student able advance pace instead wait rest group  
"In addition to having students reflect on the knowledge they were gaining, I appreciated that they were out of their seats interacting with objects in the classroom. The lesson was not solely technology-based, but an effective marriage of technology and hands-on activities.",in addition to having students reflect on the knowledge they were gaining  i appreciated that they were out of their seats interacting with objects in the classroom. the lesson was not solely technology based  but an effective marriage of technology and hands on activities.,addition student reflect knowledge gain appreciate seat interact object classroom lesson solely technology base effective marriage technology hand activity  
